id,label,query,paragraphs
H21-13-O,N,"A pledgee and a pledgor may not agree to the pledgee's acquisition of the Thing pledged as performance for obligations, even after the due dates for performance of his/her obligations secured by the pledge.","Article 349
The pledgor may not, either by the acts establishing pledges or by contracts made prior to the due dates for the obligations, allow the pledgee to acquire ownership of the thing pledged as satisfaction of the obligations, nor promise to allow the pledgee to dispose of it in any manner other than is prescribed by law."
H21-15-3,Y,"In cases where a building owned by person A is built on land owned by person A, and then after a mortgage is created as a joint mortgage for person B with respect to  the building and the land, the result of the execution of the mortgage with respect to the land only is that person C became the land owner, then statutory superficies with respect to the building on the land will be established.","Article 388
If the land and a building on that land belong to the same owner, a mortgage is created with respect to that land or building, and the enforcement of that mortgage causes them to belong to different owners, it is deemed that a superficies has been created with respect to that building.In this case, the rent is fixed by the court at the request of the parties."
H21-19-A,Y,"Assuming that a recovery obligation due to cancellation is understood as a different l obligation that is not identical to the original obligation, whenever it is considered whether or not the recovery obligation due to contract cancellation being included in the scope of the guarantee obligation is a problem in the interpretation of intention of the party in the guarantee contract, the guarantor for the seller in a sales contract for specified Thing may be understood to bear responsibility for the guarantee even for the recovery obligation in cases where the contract is cancelled due to default by the seller.","Article 447
(1) The guarantee obligation includes interest, penalty and compensation for loss or damage in connection with the principal obligation, and all other charges secondary to that obligation.
(2) A guarantor may stipulate the amount of penalty or compensation for loss or damage with regard to the guarantor's own guarantee obligation only."
H21-19-I,Y,"In order for a guarantor to exercise the right of defense of obligor's solvency, he/she must prove that the principal obligor has the financial resources to pay his/her obligation and that the execution would be easily performed.","Article 453
Even after the obligee has made a demand to the principal obligor in accordance with the provisions of the preceding Article, the obligee must first execute on the property of the principal obligor if the guarantor proves that the principal obligor has the financial resources to pay the obligation and that the execution can be easily performed."
H21-19-U,N,"Regarding the provision in the Civil Code that states, ""a guarantor may raise a defense vis-a-vis the obligee by setting off any claim which the principal obligor may have vis-a-vis the obligee"", when considering that the guarantor is given the authority to set off any claim that the principal obligor has, the guarantor will be understood to have the right of affirmative defense that refuses the performance of the guarantee obligation for the corresponding amount.","Article 457
(1) The postponement of expiry of prescription period and the renewal of prescription period due to grounds such as a request for performance in relation to the principal obligor are also effective in relation to the guarantor.
(2) A guarantor may assert against the obligee a defense that can be raised by the principal obligor.
(3) If the principal obligor has a right to set-off, right to rescind or right to cancel against the obligee, the guarantor may refuse to perform the obligation to the obligee to the extent that the principal obligor should have been released from the obligation by exercising these rights."
H21-19-E,N,"In cases where a guarantor has given a guarantee as entrusted by the principal obligor, if he/she had a judgment ordering him/her to perform the obligation to the obligee, or has performed the obligation on behalf of  the principal obligor, or has otherwise in exchange for his/her own property performed any other act intended to cause the obligation to be extinguished, as long as the guarantor has not been negligent at any time whatsoever, that guarantor has a right to indemnification against the principal debtor.","Article 459
(1) If a guarantor gives guarantee as requested by the principal obligor, and performs the obligation on behalf of the principal obligor or performs any other act that causes the obligation to be extinguished in exchange for the guarantor's own property (hereinafter referred to as an ""act for extinguishment of obligation""), the guarantor has a right to reimbursement from the principal obligor for the amount of property expended for that act (if the amount of property exceeds the amount of the principal obligation extinguished by the act for extinguishment of obligation, the amount thus extinguished).
(2) The provisions of Article 442, paragraph (2) apply mutatis mutandis to the cases set forth in the preceding paragraph."
H21-20-2,Y,"If an obligor acknowledges assignment of a claim  vis-a-vis either the assigner or the assignee, the assignee may raise the assignment as a defense against the obligor.","Article 467
(1) The assignment of a claim (including the assignment of a claim that is yet to arise) may not be duly asserted against the applicable obligor or any other third party, unless the assignor gives notice thereof to the obligor or the obligor has consented to the same.
(2) Notice or consent as referred to in the preceding paragraph may not be duly asserted against a third party other than the obligor unless the notice or the consent is made using an instrument bearing a certified date."
H21-20-4,N,"If an obligor has given an acknowledgement without objection  to the assignor of a claim, even if the claim was satisfied, he/she may not refuse the performance of the obligation vis-a-vis the assignee, but may demand the return of the payment money vis-a-vis the assignor.","Article 468
(1) An obligor may duly assert against the assignee any event that has taken place with regard to the assignor by the time of completion of the perfection.
(2) For the purpose of the application of the provisions of the preceding paragraph in the case referred to in Article 466, paragraph (4), the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when a reasonable period of time referred to in Article 466, paragraph (4) has elapsed""; and to apply the provisions of that paragraph in the case referred to in Article 466-3, the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when the obligor receives a request from the assignee referred to in Article 466-3 to make a deposit with an official depository pursuant to the provisions of that Article""."
H21-21-1,N,"Any performance vis-a-vis a person that has no authority to receive the payment has no effect vis-a-vis the creditor, except in cases where it has an effect as a payment vis-a-vis a holder of quasi-possession  of the claim.","Article 478
Performance made to a person that does not constitute a person authorized to accept the performance (meaning the obligee or a third party authorized to accept performance based on the provisions of laws and regulations or the manifestation of intention of the parties; the same applies hereinafter) but that appears to be the person authorized to accept the performance in light of common sense in the transaction is effective only if the person effecting performance was acting in good faith and without negligence.
Article 479
Except as provided in the preceding Article, any performance made to a person other than the person with right to performance is effective only to the extent that the obligee is enriched as a result thereof."
H21-21-3,N,"In cases where there is any instrument which evidences the claim for wages, the borrower may assert the fact that he/she will make a payment by returning and exchanging the instrument when attempting to make the performance has completed his/her entire performance.","Article 487
If there is an instrument evidencing a claim and the person making the performance has made full performance, that person may demand the return of the instrument."
H21-21-4,N,"If a third party obligor who has been enjoined from making payment has paid his/her obligation to his/her own obligee, the relevant obligee shall not entitled to request such third party obligor to make payment, even to the extent he/she suffered the damages.","Article 481
(1) If a third party obligor of a claim that has been attached performs the obligation to that third party's own obligee, the attaching obligee is entitled to request the third party obligor to perform the obligation de novo to the extent of the damage sustained by the attaching obligee.
(2) The provisions of the preceding paragraph do not preclude the relevant third party obligor from exercising the right to reimbursement from the obligee."
H21-21-5,N,"Unless  any other intention is manifested with respect to the expense of performance, such expenses shall be borne by the obligee, but in cases the relevant obligor caused the expense of performance to increase by relocating his/her domicile or taking any other acrtions, such incremental amount shall be borne by the  obligor.","Article 485
Unless a particular intention is manifested with respect to the expenses of performance, those expenses are borne by the obligor;provided, however, that if the obligee caused the expenses of performance to increase by relocating the domicile thereof or taking any other act, the amount of increase due to this is borne by the obligee."
H21-22-5,N,"In cases where an active claim extinguished due to prescription, set-off may not be performed, but the adverse party may abandon the benefits of prescription and effect the set-off.","Article 508
If a claim extinguished by prescription was eligible for set-off prior to its extinguishment, the obligee may use that claim for the set-off."
H21-24-A,Y,"Either the donor or the donee may revoke gifts not in writing. However, that this shall not apply for any portion of the gift for which performance has been completed.","Article 550
Gifts not in writing may be cancelled by either party;provided, however, that this does not apply to a portion of the gift for which performance has been completed."
H21-24-I,N,"Since a mandate contract is a consensual contract, it shall be effective if there is an oral agreement. However, in order to assert the effect of a mandate contract to a third party, it must be documented in writing.","Article 643
A mandate becomes effective when a first party asks a second party with performing a juridical act, and the second party accepts this."
H21-24-E,Y,"If a mortgage creation contract has the agreement of the mortgagee and of the mortgagor that has ownership of the subject matter of the mortgage, it will be effective even if it is not in writing and there is no registration of its creation.","Article 176
The creation and transfer of a real right becomes effective solely by the manifestations of intention of the parties.
Article 177
Acquisitions of, losses of and changes in real rights on immovables may not be duly asserted against any third parties, unless the same are registered pursuant to the applicable provisions of the Real Property Registration Act (Act No. 123 of 2004) and other laws regarding registration."
H21-24-O,N,"A guarantor may revoke a contract of guarantee that is not in writing. However, this shall not apply for the portion that has been performed.","Article 446
(1) A guarantor has the responsibility to perform the obligation of the principal obligor when the latter fails to perform that obligation.
(2) No guarantee contract becomes effective unless it is made in writing.
(3) If a guarantee contract is concluded by electronic or magnetic record which records the terms thereof, the guarantee contract is deemed to be made in writing, and the provisions of the preceding paragraph apply."
H21-25-3,N,"A person who commences the management of a business for another person without being obliged to do so may not demand compensation from the principal, even if he/she expends useful expenses for the principal, when that management is against the intention of the principal.","Article 702
(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched."
H21-25-4,Y,A third party who has no interest in an obligation may not perform the obligation against the will of the obligor.,"Article 474
(1) A third party may also perform an obligation.
(2) A third party that has no legitimate interest in performing an obligation may not perform the obligation against the will of the obligor;provided, however, that this does not apply if the obligee did not know that the performance is against the will of the obligor.
(3) The third party prescribed in the preceding paragraph may not perform the obligation against the will of the obligee;provided, however, that this does not apply if the third party performs the obligation as requested by the obligor, and the obligee knew this.
(4) The provisions of the preceding three paragraphs do not apply if the nature of an obligation does not permit the performance by a third party or if a party manifests the intention to prohibit or restrict the performance by a third party."
H21-25-5,N,A third party who has no interest in an obligation may not guarantee an obligation against the will of the obligor.,"Article 462
(1) The provisions of Article 459-2, paragraph (1) apply mutatis mutandis if a person, that has given guarantee without the request of the principal obligor, performs an act for extinguishment of obligation.
(2) A person that has become a guarantor against the will of the principal obligor has the right to reimbursement only to the extent currently enriched.In this case, if the principal obligor asserts to have grounds for set-off against the obligee prior to the day of the demand for reimbursement, the guarantor may demand that the obligee perform the obligation which would have been extinguished by that set-off.
(3) The provisions of Article 459-2, paragraph (3) apply mutatis mutandis to the exercise of the right to reimbursement if the guarantor referred to in the preceding two paragraphs performs an act for extinguishment of obligation before the due date of the principal obligation."
H21-26-A,Y,"If a building that is the subject matter of a job in a building contract has any defect, and  the purpose of the contract cannot be achieved because of the defect, the party ordering the work may cancel the contract for that reason.","Article 541
If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract;provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.
Article 542
(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(i) if the performance of the whole of the obligation is impossible;
(ii) if the obligor unequivocally manifests the intention to refuse to perform the obligation in whole;
(iii) if the performance of part of the obligation is impossible, or if the obligor clearly manifests the intention to refuse to perform part of the obligation and the purpose of the contract cannot be achieved by the performance of the remaining part of the obligation;
(iv) if, due to the nature of the contract or a manifestation of intention by the parties, the purpose of the contract cannot be achieved unless the obligation is performed at a specific time on a specific date or within a certain period of time, and the obligor fails to perform the obligation at that time or before that period of time expires; or
(v) beyond the cases set forth in the preceding items, if the obligor does not perform the obligation and it is obvious that the obligor is unlikely to perform the obligation to the extent necessary to achieve the purpose of the contract even if the obligee makes the demand referred to in the preceding Article.
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:
(i) the performance of the part of the obligation is impossible; or
(ii) the obligor clearly manifests the intention to refuse to perform the part of the obligation.
Article 559
The provisions of this Section apply mutatis mutandis to contracts for value other than contracts for sale;provided, however, that this does not apply when it is not permitted by the nature of the contract for value.
Article 564
The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415
or exercising the right to cancel pursuant to the provisions of Articles 541 and 542."
H21-26-U,Y,The cancellation of a partnership contract  shall solely become effective toward the future.,"Article 620
If a lease is cancelled, the cancellation becomes effective solely toward the future. In such a case, the cancellation does not preclude a claim for compensation for loss or damage.
Article 684
The provisions of Article 620
apply mutatis mutandis to partnership contracts."
H21-26-O,N,"If after a sales contract for moveables is entered and a portion of the purchase price is paid, the sales contract is cancelled due to default of the seller, then he/she bears an obligation to compensate the buyer for damages, but in returning the portion of the purchase price that was received, there is no need to add interest from the time of that receipt of those moneys.","Article 545
(1) If one of the parties exercises the right to cancel, each party assumes an obligation to restore the other party to that other party's original state;provided, however, that this may not prejudice the rights of a third party.
(2) In the case referred to in the main clause of the preceding paragraph, if any monies are to be refunded, interest must accrue from the time of the receipt of those monies.
(3) In the case referred to in the main clause of paragraph (1), if a thing other than money is to be returned, fruits that have accrued on or after the time of the receipt of the thing must also be returned.
(4) The exercise of the right to cancel does not preclude claims for compensation for loss or damage."
H21-27-O,N,"In cases where person C was unaware that the ownership of real property L belonged to person A at the time of the execution of the sales contract between person B and person C, since person C is mistaken regarding an essential element of the sales contract, and the contract is not effective, person B bears no obligation to acquire ownership from person A and transfer it to person C.","Article 95
(1) A manifestation of intention is voidable if it is based on either of the following mistakes, and the mistake is material in light of the purpose of the juridical act and the common sense in the transaction:
(i) a mistake wherein the person lacks the intention that corresponds to the manifestation of intention; or
(ii) a mistake wherein the person making the manifestation of intention holds an understandings that does not correspond to the truth with regard to the circumstances which the person has taken as the basis for the juridical act.
(2) A manifestation of intention under the provisions of item (ii) of the preceding paragraph may be rescinded only if it has been indicated that the circumstances in question are being taken as the basis for the juridical act.
(3) If a mistake is due to gross negligence on the part of the person making the manifestation of intention, that person may not rescind a manifestation of intention as under paragraph (1), except in the following cases:
(i) if the other party knew, or did not know due to gross negligence, of the mistake on the part of the person making the manifestation of intention; or
(ii) if the other party was under the same mistake as the person making the manifestation of intention.
(4) The rescission of a manifestation of intention under the provisions of paragraph (1) may not be duly asserted against a third party in good faith acting without negligence."
H21-29-A,Y,Provisions for statutory liens for real property construction are established in the Civil Code.,"Article 327
(1) Statutory lien for construction work for immovables exists, with respect to immovables, in connection with the expenses of construction work performed by a person that designs, constructs or supervises construction regarding the immovables of the obligor.
(2) The statutory liens referred to in the preceding paragraph exist with respect to the relevant increased value alone, but only if there is a current increase in the value of the immovables resulting from the construction work."
H19-1-3,N,"A person who made a manifestation of intention which was induced by duress emanated from a third party may rescind such manifestation of intention on the basis of duress, only if the other party knew or was negligent of such fact.","Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence."
H19-4-I,Y,"In a sales contract subject to  a condition precedent, the buyer that intentionally damaged the object while it is uncertain whether or not the condition has been fulfilled shall bear liability for damages to the seller whose expectation right is infringed.","Article 128
While it is uncertain whether or not a condition will be fulfilled, a party to a juridical act that is subject to a condition may not prejudice the other party's interests that would arise from the juridical act upon fulfillment of the condition."
H19-5-3,N,"Even if the  possessor started the possession without knowledge and was not negligent of another's ownership of the property in cases where he/she subsequently knew another person's ownership during  possession, the period of prescription shall be calculated as a possessor in bad faith.","Article 162
(1) A person that possesses the property of another for 20 years peacefully and openly with the intention to own it acquires ownership thereof.
(2) A person that possesses the property of another for 10 years peacefully and openly with an intention to own it acquires ownership thereof if the person was acting in good faith and was not negligent at the time when the possession started."
